Irrigated crops,Area (ha),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Wheat,48.241,,,,,,4.41035167802906,4.41035167802906,4.41035167802906,4.41035167802906,4.41035167802906,4.41035167802906,4.41035167802906
Rice,21.58,1.9729149315285153,1.9729149315285153,1.9729149315285153,,,,,,,,1.9729149315285153,1.9729149315285153
Maize,101.11,9.243810413663029,9.243810413663029,9.243810413663029,,,,,,,,9.243810413663029,9.243810413663029
Barley,1.716,,,,,,0.15688239214564095,0.15688239214564095,0.15688239214564095,0.15688239214564095,0.15688239214564095,0.15688239214564095,
Other cereals,8.429,0.7706070416058319,0.7706070416058319,0.7706070416058319,,,,,,,,0.7706070416058319,0.7706070416058319
Vegetables ,103.511,9.463317770039302,9.463317770039302,9.463317770039302,,,,,,,,9.463317770039302,9.463317770039302
Fruits,246.166,22.505309408463784,22.505309408463784,22.505309408463784,22.505309408463784,22.505309408463784,22.505309408463784,22.505309408463784,22.505309408463784,22.505309408463784,22.505309408463784,22.505309408463784,22.505309408463784
Grapes,104.2115,9.52735979550435,9.52735979550435,9.52735979550435,9.52735979550435,9.52735979550435,9.52735979550435,9.52735979550435,9.52735979550435,9.52735979550435,9.52735979550435,9.52735979550435,9.52735979550435
Citrus,16.587,1.5164383674357498,1.5164383674357498,1.5164383674357498,1.5164383674357498,,1.5164383674357498,1.5164383674357498,1.5164383674357498,1.5164383674357498,1.5164383674357498,1.5164383674357498,1.5164383674357498
Oil crops,5.741,0.5248611965665062,0.5248611965665062,0.5248611965665062,,1.5164383674357498,,,,,,0.5248611965665062,0.5248611965665062
Potatoes,21.845,1.9971421074717524,1.9971421074717524,1.9971421074717524,,,,,,,,1.9971421074717524,1.9971421074717524
Pulses,9.93,0.9078334230805447,0.9078334230805447,0.9078334230805447,,,,,,,,0.9078334230805447,0.9078334230805447
Sugar beet,19.008,1.737774189920946,1.737774189920946,1.737774189920946,,,,,,,1.737774189920946,1.737774189920946,1.737774189920946
Fodder temporary,283,,,,,,25.872795441268295,25.872795441268295,25.872795441268295,25.872795441268295,25.872795441268295,25.872795441268295,
Tobacco,2.737,0.2502255870061884,0.2502255870061884,0.2502255870061884,,,,,,,,0.2502255870061884,0.2502255870061884
Pasture permanent,100,9.142330544617773,9.142330544617773,9.142330544617773,9.142330544617773,9.142330544617773,9.142330544617773,9.142330544617773,9.142330544617773,9.142330544617773,9.142330544617773,9.142330544617773,9.142330544617773
Harvested irrigated crop area [AHIfull],1093.8125,,,,,,,,,,,,
Area equipped for full control irrigation actually irrigated [AAIfull],1093.813,69.55992477690427,69.55992477690427,69.55992477690427,42.69143811602166,42.69143811602166,73.13146762746464,73.13146762746464,73.13146762746464,73.13146762746464,74.8692418173856,99.99995428834727,73.97027645493333
Cropping intensity (%) = 100 x [AHIfull]/[AAIfull],99.99995428834727,,,,,,,,,,,,
Area equipped for full control irrigation [AEIfull],1108.559,,,,,,,,,,,,
% of full control equipped actually irrigated = 100 x [AAIfull]/[AEIfull],98.66980467435654,,,,,,,,,,,,
Total area equipped for irrigation [AEItot],1108.559,,,,,,,,,,,,
